department,condition,symptoms,description,follow_up_questions,precautions,severity_level
Cardiology,Coronary Artery Disease / Angina,"chest pain, shortness of breath, left arm pain, chest tightness, sweating, cold sweat","Reduced blood flow to the heart muscle causing chest pressure and discomfort.","Does the chest pain radiate to your left arm or jaw?;Does resting relieve the discomfort?;Have you experienced nausea or cold sweats?","Stop physical exertion immediately;Sit upright and rest;Avoid heavy meals;Seek immediate emergency medical care if pain persists","Emergency"
Cardiology,Arrhythmia / Palpitations,"heart palpitations, irregular heartbeat, fluttering chest, dizziness, lightheadedness, shortness of breath","A condition where the heart beats with an irregular or abnormal rhythm.","Do you feel sudden fluttering or skipped heartbeats?;Does excessive caffeine or anxiety trigger it?;Have you felt faint or passed out?","Avoid caffeine and alcohol;Practice deep breathing;Monitor pulse rate;Schedule an ECG evaluation with a cardiologist","Moderate"
Cardiology,Hypertension,"high blood pressure, persistent morning headache, dizziness, blurred vision, nosebleed","Chronic high blood pressure that strains heart blood vessels over time.","Have you had your blood pressure measured recently?;Do you have a family history of hypertension?;Are you currently taking any BP medication?","Reduce sodium salt intake;Limit alcohol and smoking;Check BP twice daily and log readings;Consult a physician for prescription adjustments","Moderate"
Cardiology,Heart Failure Signs,"swollen ankles, leg edema, shortness of breath lying flat, rapid weight gain, persistent fatigue","The heart is unable to pump blood efficiently leading to fluid accumulation.","Do your ankles or legs swell towards the evening?;Do you need extra pillows to breathe comfortably while sleeping?;Have you noticed sudden weight gain?","Weigh yourself daily;Restrict excess sodium and fluid intake as advised;Elevate legs when resting;Consult a cardiologist promptly","Urgent"
Neurology,Migraine,"throbbing headache, one-sided head pain, sensitivity to light, sound sensitivity, nausea, visual aura","A neurological condition marked by severe pulsing headaches and sensory sensitivity.","Is the headache on one side of your head?;Do bright lights or loud sounds make it worse?;Do you see zigzag lines or flashes of light before pain starts?","Rest in a dark and quiet room;Apply cold compress to forehead;Stay well hydrated;Take prescribed triptans or anti-inflammatories early","Moderate"
Neurology,Tension Headache,"dull aching head pain, band around forehead, neck stiffness, shoulder tension, scalp tenderness","The most common type of headache caused by stress and muscle contractions.","Does the pain feel like a tight band squeezing your head?;Have you been under high stress or screen strain?;Is your neck or upper shoulder muscles tight?","Take regular screen breaks;Perform gentle neck and shoulder stretches;Stay hydrated;Apply warm compress to neck muscles","Mild"
Neurology,Stroke Warning / TIA,"face drooping, arm weakness, slurred speech, sudden confusion, sudden numbness on one side, loss of balance","A temporary or permanent disruption of blood flow to the brain requiring immediate emergency action.","Is one side of the face drooping when smiling?;Can you raise both arms equally?;Is speech slurred or difficult to understand?","CALL EMERGENCY SERVICES IMMEDIATELY (911/112);Do not give food, water, or aspirin;Note exact time symptoms began;Keep patient calm and lying down","Emergency"
Neurology,Vertigo / Vestibular Disorder,"spinning sensation, loss of balance, dizziness turning head, nausea, vomiting, ringing in ears","A sensation of spinning or balance disturbance caused by inner ear or brain pathways.","Does spinning worsen when turning in bed or tilting head?;Do you experience ringing in ears or hearing changes?;Are you having difficulty standing straight?","Move slowly and avoid abrupt head movements;Sit down immediately when dizzy;Sleep with head slightly elevated;Avoid bright flashing screens","Moderate"
Dermatology,Eczema / Atopic Dermatitis,"itchy skin, dry red patches, skin flaking, inflamed skin, skin cracking","A chronic inflammatory skin condition causing itchy, dry, and irritated patches.","Does the itching become worse at night?;Do patches appear in elbows, knees, or neck?;Is your skin dry or reacting to soaps?","Apply hypoallergenic moisturizers after bathing;Avoid harsh fragranced soaps;Wear loose cotton clothing;Use prescribed topical hydrocortisone","Mild"
Dermatology,Psoriasis,"thick red skin plaques, silvery scales, itchy skin plaques, dry cracked skin, joint stiffness","An autoimmune skin disorder causing rapid skin cell turnover into scaly plaques.","Do you have thick silvery scales on your elbows, knees, or scalp?;Do your joints ache in addition to skin rash?;Do the plaques bleed when scratched?","Keep skin thoroughly moisturized;Avoid scratching or picking scales;Get gentle sunlight exposure;Consult a dermatologist for targeted therapies","Moderate"
Dermatology,Contact Dermatitis,"red itchy rash, skin blistering, burning skin sensation, swelling after touching substance","Skin allergic reaction or irritation caused by direct contact with a specific irritant.","Have you used new cosmetic products, detergents, or touched plants?;Did the rash appear where jewelry or clothing rubbed?;Is there a burning or stinging sensation?","Wash area with cool water and mild soap;Discontinue contact with suspected substance;Apply cool compress;Take over-the-counter antihistamine for itch relief","Mild"
Dermatology,Fungal Skin Infection / Ringworm,"ring-shaped rash, red raised border, itchy circular patch, peeling skin between toes","A fungal infection of the outer skin layer causing itchy circular lesions.","Is the rash circular with a raised outer border?;Is there peeling or itching between your toes or groin?;Has anyone else in the household had similar rashes?","Keep skin dry and clean;Do not share towels or clothing;Apply over-the-counter antifungal cream;Wear breathable cotton footwear","Mild"
Gastroenterology,GERD / Acid Reflux,"heartburn, acid regurgitation, sour taste in mouth, chest burning after eating, difficulty swallowing","Stomach acid repeatedly flows back into the tube connecting mouth and stomach.","Do you get a burning feeling behind the breastbone after meals?;Does acid rise into throat when lying down?;Does it happen more frequently after spicy or fatty food?","Avoid lying down for 3 hours after eating;Elevate head of bed by 6 inches;Avoid spicy, citrus, and fried food;Take antacids as recommended","Mild"
Gastroenterology,Peptic Ulcer Disease,"burning stomach pain, pain worse on empty stomach, feeling full quickly, nausea, dark tarry stools","Sores that develop on the inside lining of stomach and upper small intestine.","Does your stomach pain improve temporarily after eating or antacids?;Is there pain located between naval and breastbone?;Have you had black or tarry bowel movements?","Avoid NSAID painkillers like ibuprofen;Avoid alcohol, smoking, and caffeine;Eat small frequent meals;Seek urgent care if vomiting blood or passing black stool","Moderate"
Gastroenterology,Gastroenteritis / Stomach Flu,"watery diarrhea, stomach cramps, nausea, vomiting, low grade fever, dehydration","Intestinal infection marked by diarrhea, abdominal cramps, nausea, and dehydration risk.","How many loose bowel movements have you had today?;Are you able to keep fluids down without vomiting?;Do you have dry mouth, dark urine, or extreme thirst?","Sip oral rehydration salts (ORS) slowly;Stick to bland foods (bananas, rice, applesauce, toast);Avoid dairy and sugary drinks;Seek care if high fever or blood in stool","Moderate"
Gastroenterology,Irritable Bowel Syndrome (IBS),"abdominal bloating, cramps relieved by bowel movement, alternating constipation and diarrhea, gas","A common disorder that affects the large intestine causing cramping, gas, and bowel irregularity.","Are abdominal cramps relieved after passing bowel movement?;Do you alternate between constipation and diarrhea?;Do symptoms worsen during periods of stress?","Increase dietary soluble fiber gradually;Keep a food journal to identify trigger foods;Stay hydrated and exercise regularly;Practice stress-reduction techniques","Mild"
Pulmonology,Asthma,"wheezing sound, shortness of breath, chest tightness, coughing at night, coughing during exercise","A chronic condition where airways narrow, swell, and produce extra mucus.","Do you hear a whistling or wheezing sound when breathing out?;Does coughing wake you up during the night?;Are symptoms triggered by cold air, dust, or exercise?","Use your prescribed rescue inhaler (albuterol);Sit upright and remain calm;Stay away from known allergens and smoke;Seek urgent ER care if rescue inhaler fails to give relief","Urgent"
Pulmonology,Acute Bronchitis,"persistent chesty cough, clear or yellow mucus, chest soreness coughing, fatigue, mild fever","Inflammation of the lining of your bronchial tubes which carry air to lungs.","Has your cough lasted longer than 10 days?;Are you coughing up yellow or green phlegm?;Do you experience a raw or sore feeling in your chest when coughing?","Drink plenty of warm fluids;Use a cool-mist humidifier in bedroom;Rest and avoid smoke exposure;Take honey or cough suppressant for night sleep","Mild"
Pulmonology,Pneumonia,"high fever, shaking chills, productive cough with green rust phlegm, sharp chest pain breathing, shortness of breath","An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Is your chest pain sharp and worse when taking a deep breath?;Are you experiencing high fever with severe chills?;Are you struggling to catch your breath?","Seek immediate medical consultation;Complete full course of prescribed antibiotics;Rest and stay hydrated;Monitor oxygen levels with a pulse oximeter","Urgent"
Orthopedics,Osteoarthritis,"joint pain, joint stiffness morning, knee swelling, grating sensation joints, pain after walking","A degenerative joint disease causing cartilage breakdown and joint discomfort.","Is joint stiffness worse when waking up and improves within 30 minutes?;Do your knees or hips hurt more after prolonged standing or walking?;Do you hear or feel popping/grinding in joints?","Engage in low-impact exercises like swimming;Maintain a healthy body weight;Apply warm packs before activity and cold packs after;Use supportive footwear","Moderate"
Orthopedics,Lumbar Spondylosis / Low Back Pain,"lower back ache, sharp back pain bending, stiffness in back, pain radiating to buttocks","Wear and tear of spinal discs in lower back causing pain and restricted mobility.","Does pain worsen when bending forward or lifting heavy objects?;Does the ache radiate down into your leg or foot?;Have you had any loss of bladder or bowel sensation?","Avoid heavy lifting and prolonged bending;Apply ice pack for first 48 hours then moist heat;Perform gentle core-strengthening exercises;Use ergonomic lumbar back support","Moderate"
Orthopedics,Sprain / Tendon Injury,"sudden joint swelling, ankle pain walking, bruising around joint, tender joint, inability to bear weight","Stretching or tearing of ligaments or tendons supporting joints.","Did the injury occur suddenly with a pop or twist?;Can you put weight on the affected limb?;Is there noticeable bruising and rapid swelling?","Follow R.I.C.E: Rest, Ice 15-20 min, Compress with elastic wrap, Elevate joint;Avoid weight-bearing;Consult orthopedics if unable to walk","Moderate"
ENT,Acute Sinusitis,"facial pressure under eyes, sinus headache, thick green nasal discharge, blocked nose, tooth pain","Inflammation or swelling of tissue lining the sinuses causing blockage and pressure.","Do you feel painful pressure behind eyes, forehead, or cheeks?;Does pressure worsen when leaning your head forward?;Is nasal discharge thick green or yellow?","Inhale steam twice daily;Use saline nasal rinse or spray;Stay well-hydrated to thin secretions;Apply warm washcloth across sinuses","Mild"
ENT,Allergic Rhinitis / Hay Fever,"frequent sneezing, runny itchy nose, watery eyes, itchy throat, nasal congestion","Allergic reaction to airborne allergens such as pollen, pet dander, or dust mites.","Are your eyes red, watery, and itchy?;Do you have sneezing fits especially in mornings or outdoors?;Is nasal discharge clear and watery?","Take non-drowsy oral antihistamine;Rinse nasal passages with saline;Keep windows closed during high pollen days;Wash bedding in hot water weekly","Mild"
ENT,Otitis Media / Ear Infection,"ear pain, ear fullness, muffled hearing, fluid draining from ear, fever in ear","Infection of the middle ear space behind the eardrum causing pain and fluid buildup.","Is there a throbbing or sharp pain deep inside your ear?;Have you had a recent cold or upper respiratory infection?;Is there any discharge leaking from the ear?","Keep ear clean and dry;Do not insert cotton swabs into ear canal;Take acetaminophen or ibuprofen for pain;Consult an ENT doctor for antibiotic drops if required","Moderate"
ENT,Pharyngitis / Strep Throat,"severe sore throat, painful swallowing, swollen red tonsils, white spots on tonsils, fever, swollen neck lymph nodes","Inflammation of the pharynx or tonsils caused by bacterial or viral infection.","Does swallowing food or saliva cause sharp throat pain?;Do you see white patches on your tonsils in the mirror?;Do you have tender swollen glands under your jaw?","Gargle with warm salt water 3-4 times daily;Drink warm broths and teas with honey;Suck on throat lozenges;Visit an ENT or GP for a rapid strep throat swab","Moderate"
Endocrinology,Type 2 Diabetes Mellitus,"excessive thirst, frequent urination, unexplained weight loss, extreme hunger, slow healing sores, fatigue","A chronic metabolic disorder causing elevated blood sugar levels.","Are you drinking significantly more water and urinating often?;Do cuts or bruises take unusually long to heal?;Have you lost weight without trying to diet?","Schedule a fasting blood glucose and HbA1c test;Avoid sugary beverages and refined carbs;Engage in daily 30-minute walks;Monitor blood sugar as advised by doctor","Moderate"
Endocrinology,Hypothyroidism,"unexplained weight gain, persistent fatigue, cold sensitivity, dry coarse skin, constipation, hair thinning","An underactive thyroid gland that does not produce enough thyroid hormones.","Do you feel constantly cold when others are comfortable?;Have you gained weight despite no change in diet?;Do you experience chronic sluggishness, brain fog, or dry hair?","Request a TSH and free T4 thyroid blood panel;Ensure balanced iodine intake in diet;Take prescribed levothyroxine consistently on empty stomach;Maintain physical activity","Moderate"
Ophthalmology,Conjunctivitis / Pink Eye,"red bloodshot eye, itchy burning eye, gritty feeling eye, crusty discharge waking up, eye tearing","Inflammation of the transparent membrane lining eyelid and eyeball.","Are your eyelids stuck together with crust upon waking?;Is one or both eyes red, itchy, and irritated?;Is there sensitivity to sunlight?","Clean eye discharge with damp cotton ball wiping outward;Do not wear contact lenses until completely healed;Avoid touching or rubbing eyes;Wash hands frequently to avoid spreading","Mild"
Ophthalmology,Dry Eye Syndrome,"scratchy gritty eyes, burning eyes, eye redness, blurred vision reading, sensitivity to wind","Insufficient lubrication and moisture on the eye surface.","Do your eyes burn or feel like there is sand inside them?;Does vision blur after reading or looking at computer screens?;Do your eyes water excessively in windy conditions?","Use preservative-free lubricating artificial tear drops;Follow the 20-20-20 screen rule (look 20 ft away for 20 sec every 20 min);Use a room humidifier;Avoid direct fan airflow into eyes","Mild"
General Medicine,Influenza / Viral Flu,"sudden high fever, body aches, chills, extreme fatigue, dry cough, headache, sore throat","A contagious respiratory viral infection affecting nose, throat, and sometimes lungs.","Did fever and severe body aches come on suddenly?;Are your muscles and back aching intensely?;Do you feel too exhausted to perform routine activities?","Get plenty of bed rest;Drink warm fluids, teas, and broths;Take fever reducers like paracetamol/ibuprofen;Isolate to avoid spreading to family members","Moderate"
General Medicine,Common Cold,"mild sore throat, runny nose, sneezing, mild fatigue, low grade fever, mild headache","A mild viral infection of the upper respiratory tract.","Are symptoms mostly concentrated in nose and throat?;Is your energy level manageable despite mild sniffles?;Do you have clear or slightly cloudy nasal mucus?","Rest and stay well hydrated;Use warm steam inhalation;Take vitamin C and zinc lozenges;Use saline nasal drops for stuffiness","Mild"
General Medicine,Dengue Warning,"sudden high fever, severe headache behind eyes, severe bone and joint pain, skin rash, nausea, bruising","A mosquito-borne viral infection causing high fever and severe musculoskeletal pain.","Do you have severe pain behind your eyes when moving them?;Are you experiencing intense breakbone body ache?;Have you noticed red spots, nosebleeds, or easy bruising?","Avoid aspirin and ibuprofen as they increase bleeding risk;Drink plenty of fluids (coconut water, ORS);Get a complete blood count (CBC) platelet test;Seek immediate hospital care if bleeding or persistent vomiting occurs","Urgent"
